row_number	paiddeposit	scholarship_yes_no	Type_of_scholarship_offered	Female	Race	HS_rank	HS_class_size	HS_Quintile	HS_CODE	HS_NAME	SAT_math	SAT_verbal	ACT	Honors_college_eligible	distancefromPitt	state	Number_of_family_alumni	father_alumni	grand_alumni	mother_alumni	sibling_alumni	step_parent_alumni	other_family_alumni	SAT_composite	ACT_as_SAT	Max_Test_Score	Training	from_PA
545	1	0		1.00	white	90.0	456	1/5	391550	SHALER_AREA_HIGH_SCHOOL	520.0	630.0		no	8.7562753615676400	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1150		1150	0.00	1.00
546	1	0		0.00	white	148.0	358	3/5	393772	PLUM_SENIOR_HIGH_SCHOOL	580.0	440.0		no	11.8104317637169000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1020		1020	0.00	1.00
547	0	1	U2	1.00	white	12.0	499	1/10	395465	SENECA_VALLEY_SR_HIGH_S	700.0	570.0		yes	21.8983072404043000	PA	1	1.00	0.00	0.00	0.00	0.00	0.00	1270		1270	0.00	1.00
548	1	1	U1	1.00	white	1.0	121	1/10	391480	FREEPORT_AREA_SR_HIGH_S	660.0	510.0	23.0	yes	23.5966393898255000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1170	1070	1170	0.00	1.00
549	0	0		1.00	white	8.0	245	1/10	394951	UNIONTOWN_AREA_SR_HIGH	550.0	580.0		no	48.2214404441085000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1130		1130	0.00	1.00
550	1	0		0.00	white	99.0	429	2/5	391130	EASTON_AREA_HIGH_SCHOOL	630.0	570.0		no	248.4868529401420000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	1.00
551	1	1	U2	1.00	white	1.0	249	1/10	391575	GREENSBURG_SALEM_HIGH_S	610.0	640.0		yes	23.6703951710898000	PA	1	0.00	0.00	0.00	1.00	0.00	0.00	1250		1250	0.00	1.00
558	1	0		1.00	white	22.0	158	1/5	391375	KENNARD_DALE_HIGH_SCHOO	510.0	610.0		no	192.0545116325890000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1120		1120	0.00	1.00
559	0	0		1.00	white	139.0	435	2/5	393730	MOUNT_LEBANON_HIGH_SCHO	490.0	560.0		no	7.8751096333039300	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1050		1050	0.00	1.00
565	0	1	U2	1.00	black	59.0	385	1/5	393430	PHILADELPHIA_HIGH_SCHOO	530.0	450.0		no	254.6552035946910000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	980		980	0.00	1.00
566	0	1	U6	1.00	white	1.0	100	1/10	310222	CEDAR_GROVE_HIGH_SCHOOL	670.0	660.0		yes	301.7217877954010000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1330		1330	0.00	0.00
567	1	0		0.00	white	37.0	74	3/5	390815	GEIBEL_CATHOLIC_HIGH_SC	500.0	570.0		no	34.8346247547971000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1070		1070	0.00	1.00
572	0	0		0.00	white				393370	LA_SALLE_COLLEGE_HIGH_S	570.0	520.0		no	248.1952846829600000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	1.00
580	1	1	IL	0.00	white	14.0	72	1/5	143465	SAINT_BEDE_ACADEMY			28.0	no	483.3228312926090000	IL	0	0.00	0.00	0.00	0.00	0.00	0.00		1260	1260	0.00	0.00
582	1	0		1.00	white	19.0	69	2/5	392950	NEW_HOPE_SOLEBURY_HIGH	530.0	570.0		no	254.3130911760230000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	1.00
584	0	1	U2	1.00	white	5.0	192	1/10	392260	LEWISTOWN_AREA_SR_HIGH	540.0	660.0		yes	125.5414580201280000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	1.00
595	0	0		0.00	white	85.0	268	2/5	395060	TRINITY_HIGH_SCHOOL	590.0	550.0	23.0	no	24.6382874659081000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140	1070	1140	0.00	1.00
596	0	1	HT	0.00	white	27.0	582	1/10	331845	SHENENDEHOWA_HIGH_SCHOO	800.0	700.0		yes	359.5737790219170000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1500		1500	0.00	0.00
597	0	0		1.00	white	129.0	353	2/5	310705	LIVINGSTON_HIGH_SCHOOL	690.0	580.0		no	296.7474474854270000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1270		1270	0.00	0.00
599	0	1	C4	0.00	Asian	19.0	224	1/10	210615	NORTH_HAGERSTOWN_HIGH_S	750.0	600.0		yes	131.5550158115170000	MD	0	0.00	0.00	0.00	0.00	0.00	0.00	1350		1350	0.00	0.00
604	0	1	U1	0.00	white	11.0	109	1/10	395308	LOYALSOCK_TOWNSHIP_SR_H	550.0	650.0		yes	163.2580342847810000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1200		1200	0.00	1.00
605	0	0		1.00	white	77.0	350	2/5	393280	CHELTENHAM_TOWNSHIP_HIG	540.0	550.0		no	257.3593074012880000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	1.00
