Date,ZM,TSLA,log_zm,log_return
6/12/2019,102.769997,41.852001,4.632493452445583,0.07998588741857837
6/13/2019,100.949997,42.782001,4.614625315041164,-0.017868137404419393
6/14/2019,100.290001,42.984001,4.608065999071201,-0.006559315969963286
6/17/2019,98.110001,45.006001,4.58608930836794,-0.02197669070326036
6/18/2019,99.639999,44.948002,4.60156368035785,0.015474371989909308
6/19/2019,102.389999,45.285999,4.628789041820147,0.027225361462297037
6/20/2019,102.300003,43.924,4.627909702283094,-0.0008793395370529922
6/21/2019,100.470001,44.372002,4.609859185427442,-0.01805051685565129
6/24/2019,89.410004,44.728001,4.49323257748495,-0.11662660794249202
6/25/2019,85.029999,43.952,4.443004123637146,-0.05022845384780439
6/26/2019,86.33000200000001,43.854,4.458177185414349,0.01517306177720279
6/27/2019,90.269997,44.568001,4.5028051460764305,0.044627960662081634
6/28/2019,88.790001,44.692001,4.486274042306765,-0.01653110376966538
7/1/2019,86.860001,45.433997999999995,4.464297638619455,-0.021976403687309798
7/2/2019,85.129997,44.91,4.444179464655744,-0.020118173963711072
7/3/2019,90.449997,46.98,4.504797178673808,0.06061771401806393
7/5/2019,91.879997,46.619999,4.5204833451696125,0.015686166495804343
7/8/2019,90.760002,46.068001,4.50821868194778,-0.012264663221832173
7/9/2019,90.93,46.012001,4.510089979737821,0.0018712977900410266
7/10/2019,92.720001,47.784,4.529584209816655,0.019494230078834107
7/11/2019,91.400002,47.720001,4.515245500341942,-0.014338709474713163
7/12/2019,93.300003,49.015999,4.535820140007639,0.02057463966569628
7/15/2019,99.800003,50.700001,4.603168213377538,0.06734807336989945
7/16/2019,97.099998,50.476002,4.575741354699956,-0.027426858677581656
7/17/2019,99.730003,50.972,4.602466564494995,0.026725209795039007
7/18/2019,95.190002,50.708,4.555874915273824,-0.046591649221171316
7/19/2019,93.379997,51.636002000000005,4.536677157415997,-0.01919775785782729
7/22/2019,96.66999799999999,51.136002000000005,4.571303095787572,0.03462593837157524
7/23/2019,97.389999,52.034,4.578723525705113,0.007420429917541327
7/24/2019,95.940002,52.976002,4.56372301692028,-0.0150005087848335
